,Unnamed: 0.1,speaker,video_fn,interval_id,dataset,start_time,end_time,split_index,notexist
53994,71225,seth,A_Closer_Look_-_The_Trump_Foundation-cyBPoiRNpYY.webm,96210,train,0:06:56,0:07:06,210,0
53995,71226,seth,A_Closer_Look_-_The_Trump_Foundation-cyBPoiRNpYY.webm,96210,train,0:07:06,0:07:16,210,0
53996,71227,seth,A_Closer_Look_-_The_Trump_Foundation-cyBPoiRNpYY.webm,96871,train,0:00:01,0:00:11,210,0
53997,71228,seth,A_Closer_Look_-_The_Trump_Foundation-cyBPoiRNpYY.webm,96871,train,0:00:11,0:00:19,210,0
53998,71229,seth,A_Closer_Look_-_The_Trump_Foundation-cyBPoiRNpYY.webm,97005,train,0:03:49,0:03:51,210,0
53999,71230,seth,A_Closer_Look_-_The_Trump_Foundation-cyBPoiRNpYY.webm,97006,train,0:03:51,0:04:01,210,0
54000,71231,seth,A_Closer_Look_-_The_Trump_Foundation-cyBPoiRNpYY.webm,97006,train,0:04:01,0:04:11,210,0
54001,71232,seth,A_Closer_Look_-_The_Trump_Foundation-cyBPoiRNpYY.webm,97006,train,0:04:11,0:04:21,210,0
54002,71233,seth,A_Closer_Look_-_The_Trump_Foundation-cyBPoiRNpYY.webm,97319,train,0:08:46,0:08:56,210,0
54003,71234,seth,A_Closer_Look_-_The_Trump_Foundation-cyBPoiRNpYY.webm,97319,train,0:08:56,0:09:06,210,0
54004,71235,seth,A_Closer_Look_-_The_Trump_Foundation-cyBPoiRNpYY.webm,97319,train,0:09:06,0:09:16,210,0
54005,71236,seth,A_Closer_Look_-_The_Trump_Foundation-cyBPoiRNpYY.webm,97319,train,0:09:16,0:09:17,210,0
54006,71237,seth,A_Closer_Look_-_The_Trump_Foundation-cyBPoiRNpYY.webm,97470,train,0:06:20,0:06:30,210,0
54007,71238,seth,A_Closer_Look_-_The_Trump_Foundation-cyBPoiRNpYY.webm,97470,train,0:06:30,0:06:35,210,0
