speaker,video_fn,video_link
jon,thedailyshow sequest-out part 1-94bd6b0b-8d30-4b20-8f63-b6cc05af6571.mp4,http://media.mtvnservices.com/embed/mgid:arc:video:comedycentral.com:94bd6b0b-8d30-4b20-8f63-b6cc05af6571
jon,thedailyshow april-6--2015---gene-baur part 1-860c7f1a-479e-4c4a-ae03-e43404bbe82a.mp4,http://media.mtvnservices.com/embed/mgid:arc:video:comedycentral.com:860c7f1a-479e-4c4a-ae03-e43404bbe82a
jon,thedailyshow bullet-points-over-benghazi part 1-76801ca9-96af-4dbd-a22c-2ca7b950691b.mp4,http://media.mtvnservices.com/embed/mgid:arc:video:comedycentral.com:76801ca9-96af-4dbd-a22c-2ca7b950691b
jon,thedailyshow monarchy-in-the-u-s- part 1-2de2b8f1-825f-44e2-94be-2c12c8e8bd91.mp4,http://media.mtvnservices.com/embed/mgid:arc:video:comedycentral.com:2de2b8f1-825f-44e2-94be-2c12c8e8bd91
jon,thedailyshow may-4--2015---brian-grazer part 1-0d28518b-5f93-4476-9bf9-72b5028c1774.mp4,http://media.mtvnservices.com/embed/mgid:arc:video:comedycentral.com:0d28518b-5f93-4476-9bf9-72b5028c1774
jon,thedailyshow a-love-supreme---profanity---nudity-on-tv part 1-e18533da-4f4e-4e1e-93d3-b1fdfbf89e2a.mp4,http://media.mtvnservices.com/embed/mgid:arc:video:comedycentral.com:e18533da-4f4e-4e1e-93d3-b1fdfbf89e2a
jon,thedailyshow the-best-and-the-rightest part 1-74516d50-aa33-40c7-9409-a10f14316e1a.mp4,http://media.mtvnservices.com/embed/mgid:arc:video:comedycentral.com:74516d50-aa33-40c7-9409-a10f14316e1a
jon,thedailyshow shooters part 1-5042e99d-8418-4c3d-8afe-d463e8d88fda.mp4,http://media.mtvnservices.com/embed/mgid:arc:video:comedycentral.com:5042e99d-8418-4c3d-8afe-d463e8d88fda
jon,thedailyshow the-grand-budget-passed-hotel part 1-10f7cd5d-39cd-4b52-9d3f-1d1cb9978bf9.mp4,http://media.mtvnservices.com/embed/mgid:arc:video:comedycentral.com:10f7cd5d-39cd-4b52-9d3f-1d1cb9978bf9
jon,thedailyshow into-the-words part 1-3e77fa98-68d6-4b4e-8f0f-177abd7e167f.mp4,http://media.mtvnservices.com/embed/mgid:arc:video:comedycentral.com:3e77fa98-68d6-4b4e-8f0f-177abd7e167f
jon,thedailyshow homme-alone part 1-f70f1f7d-c3ad-4b25-b753-8d74c38b434c.mp4,http://media.mtvnservices.com/embed/mgid:arc:video:comedycentral.com:f70f1f7d-c3ad-4b25-b753-8d74c38b434c
jon,thedailyshow democalypse-2014---wait--how-the-f--k-does-that-happen- part 1-f160e69c-4f4d-401d-b93a-cb2e126c40f2.mp4,http://media.mtvnservices.com/embed/mgid:arc:video:comedycentral.com:f160e69c-4f4d-401d-b93a-cb2e126c40f2
jon,thedailyshow a-nightmare-on-wall-street part 1-d158941b-3b31-43b9-a7ed-c8fdbde0af5f.mp4,http://media.mtvnservices.com/embed/mgid:arc:video:comedycentral.com:d158941b-3b31-43b9-a7ed-c8fdbde0af5f
jon,thedailyshow emmy-award-regrets part 1-5e10bf25-57e9-41b3-8376-8006df95a701.mp4,http://media.mtvnservices.com/embed/mgid:arc:video:comedycentral.com:5e10bf25-57e9-41b3-8376-8006df95a701
jon,thedailyshow the-old-man-and-the-cell part 1-ec3f8676-ca54-4b5c-8113-25bfc5ffcd2b.mp4,http://media.mtvnservices.com/embed/mgid:arc:video:comedycentral.com:ec3f8676-ca54-4b5c-8113-25bfc5ffcd2b
jon,thedailyshow weapons-of-mass-discussion part 1-043e7c25-9b10-4cd5-a381-b569be59df1b.mp4,http://media.mtvnservices.com/embed/mgid:arc:video:comedycentral.com:043e7c25-9b10-4cd5-a381-b569be59df1b
jon,thedailyshow march-of-the-parisiens part 1-29f456ba-9dc6-4a01-9f15-a0cb83e0129b.mp4,http://media.mtvnservices.com/embed/mgid:arc:video:comedycentral.com:29f456ba-9dc6-4a01-9f15-a0cb83e0129b
jon,thedailyshow defending-your-wife---arguments-against-same-sex-marriage part 1-b40862ec-1be3-4282-be45-76838baabc75.mp4,http://media.mtvnservices.com/embed/mgid:arc:video:comedycentral.com:b40862ec-1be3-4282-be45-76838baabc75
jon,thedailyshow this-is-cnn- part 1-de92b117-ecee-45da-906a-637147fcc5a8.mp4,http://media.mtvnservices.com/embed/mgid:arc:video:comedycentral.com:de92b117-ecee-45da-906a-637147fcc5a8
jon,thedailyshow plan-s-labyrinth part 1-f37161df-f60c-4f52-829d-c79a413bad90.mp4,http://media.mtvnservices.com/embed/mgid:arc:video:comedycentral.com:f37161df-f60c-4f52-829d-c79a413bad90
jon,thedailyshow 2-broken-guys part 1-9fbb4a8a-0794-445b-932e-c13056b7da5b.mp4,http://media.mtvnservices.com/embed/mgid:arc:video:comedycentral.com:9fbb4a8a-0794-445b-932e-c13056b7da5b
jon,thedailyshow april-9--2015---elizabeth-warren part 1-4371ad36-099b-4cee-b2e7-d269836a0ead.mp4,http://media.mtvnservices.com/embed/mgid:arc:video:comedycentral.com:4371ad36-099b-4cee-b2e7-d269836a0ead
jon,thedailyshow gaywatch---red-weddings part 1-22e3ceda-8ea3-41c8-b74b-e8b787eb3c4b.mp4,http://media.mtvnservices.com/embed/mgid:arc:video:comedycentral.com:22e3ceda-8ea3-41c8-b74b-e8b787eb3c4b
jon,thedailyshow barack-and-the-giant-speech---spirit-raising-time part 1-48d00bee-dc5b-40c8-aea3-393f786ba6c6.mp4,http://media.mtvnservices.com/embed/mgid:arc:video:comedycentral.com:48d00bee-dc5b-40c8-aea3-393f786ba6c6
jon,thedailyshow may-26--2015---rand-paul part 1-a5197107-c8a5-4d70-8a6d-235dce5067c3.mp4,http://media.mtvnservices.com/embed/mgid:arc:video:comedycentral.com:a5197107-c8a5-4d70-8a6d-235dce5067c3
jon,thedailyshow may-7--2015---mumford---sons part 1-8ff98d77-2169-45d0-93f8-52c63e3bdc27.mp4,http://media.mtvnservices.com/embed/mgid:arc:video:comedycentral.com:8ff98d77-2169-45d0-93f8-52c63e3bdc27
jon,thedailyshow april-7--2015---peter-dinklage part 1-e0a9d83c-f705-4090-95f1-5e246cd043d3.mp4,http://media.mtvnservices.com/embed/mgid:arc:video:comedycentral.com:e0a9d83c-f705-4090-95f1-5e246cd043d3
jon,thedailyshow hashtag-activism----bringbackourgirls part 1-5ac8f5ca-6e5c-4c21-ad53-5324f0739252.mp4,http://media.mtvnservices.com/embed/mgid:arc:video:comedycentral.com:5ac8f5ca-6e5c-4c21-ad53-5324f0739252
